Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear,WorkingDays
1979-04-01,-0.706289406,-1.503110261,-1.503110261,-1.498272663,-1.807878978,-1.503110261,0,-3.260885915
1979-05-01,1.177511329,0.567973897,1.567973897,1.526410362,0.567973897,0.567973897,0,3.98790864
1979-06-01,-1.182348928,-0.572811496,-0.572811496,-0.536085559,0.427188504,0.427188504,0,-3.504840235
1979-07-01,0,0,-1,-1,-1,-1,0,-0.5
1979-08-01,0,0,1,1,1,0,0,3
1979-09-01,-1,-1,-1,-1,-1,0,0,-5
1979-10-01,1,1,1,0,0,0,0,3
1979-11-01,0,0,0,1,1,0,0,2
1979-12-01,0,-2,-2,-1,-1,0,0,-6
1980-01-01,0,0,1,1,0,0,0,2
1980-02-01,0,0,0,0,1,0,0.75,1
1980-03-01,0.711127004,-0.49205214,-0.49205214,-0.49205214,-0.187283424,0.50794786,0,-2.222182489
1980-04-01,-0.706289406,0.496889739,0.496889739,-0.498272663,-0.807878978,-0.503110261,0,0.239114085
1980-05-01,-0.822488671,-0.432026103,-0.432026103,-0.473589638,0.567973897,0.567973897,0,-3.01209136
1980-06-01,0.817651072,-0.572811496,-0.572811496,-0.536085559,-0.572811496,-0.572811496,0,-0.004840235
1980-07-01,0,1,1,1,0,0,0,3
1980-08-01,-1,-1,-1,-1,0,0,0,-4
1980-09-01,1,1,0,0,0,0,0,2
1980-10-01,0,0,1,1,1,0,0,3
1980-11-01,-1,-1,-1,-1,-1,0,0,-5
1980-12-01,1,1,1,-1,-1,0,0,1
1981-01-01,0,0,0,0,1,1,0,-1.5
1981-02-01,0,0,0,0,0,0,-0.25,0
1981-03-01,0.711127004,0.50794786,-0.49205214,-0.49205214,-0.187283424,-0.49205214,0,1.277817511
1981-04-01,-0.706289406,-0.503110261,0.496889739,0.501727337,-0.807878978,-0.503110261,0,0.239114085
1981-05-01,0.177511329,-0.432026103,-0.432026103,-0.473589638,-0.432026103,0.567973897,0,-3.01209136
1981-06-01,-0.182348928,0.427188504,-0.572811496,-0.536085559,-0.572811496,-0.572811496,0,-0.004840235
1981-07-01,0,0,1,1,1,0,0,3
1981-08-01,0,-1,-1,-1,-1,0,0,-4
1981-09-01,0,1,1,0,0,0,0,2
1981-10-01,0,0,0,1,1,1,0,-0.5
1981-11-01,0,-1,-1,-1,-1,-1,0,-1.5
1981-12-01,0,1,1,1,-1,-1,0,4.5
1982-01-01,-1,-1,-1,-1,-1,0,0,-5
1982-02-01,0,0,0,0,0,0,-0.25,0
1982-03-01,1.711127004,1.50794786,1.50794786,0.50794786,0.812716576,0.50794786,0,4.777817511
1982-04-01,-0.706289406,-0.503110261,-0.503110261,0.501727337,0.192121022,-0.503110261,0,0.239114085
1982-05-01,-0.822488671,-1.432026103,-1.432026103,-1.473589638,-1.432026103,-1.432026103,0,-3.01209136
1982-06-01,0.817651072,1.427188504,1.427188504,0.463914441,0.427188504,0.427188504,0,3.495159765
1982-07-01,0,0,0,1,1,1,0,-0.5
1982-08-01,0,0,-1,-1,-1,-1,0,-0.5
1982-09-01,0,0,1,1,0,0,0,2
1982-10-01,-1,-1,-1,-1,0,0,0,-4
1982-11-01,1,1,0,0,0,0,0,2
1982-12-01,1,1,2,2,2,0,0,8
1983-01-01,0,-1,-1,-1,-1,-1,0,-1.5
1983-02-01,0,0,0,0,0,0,-0.25,0
1983-03-01,0.711127004,1.50794786,1.50794786,1.50794786,0.812716576,0.50794786,0,4.777817511
1983-04-01,-0.706289406,-0.503110261,-0.503110261,-0.498272663,0.192121022,0.496889739,0,-3.260885915
1983-05-01,0.177511329,0.567973897,-0.432026103,-0.473589638,-0.432026103,-0.432026103,0,0.48790864
1983-06-01,0.817651072,0.427188504,1.427188504,1.463914441,0.427188504,0.427188504,0,3.495159765
1983-07-01,-1,-1,-1,-1,0,0,0,-4
1983-08-01,1,1,1,0,0,0,0,3
1983-09-01,0,0,0,1,1,0,0,2
1983-10-01,0,-1,-1,-1,-1,0,0,-4
1983-11-01,0,1,1,0,0,0,0,2
1983-12-01,0,1,1,2,2,2,0,1
1984-01-01,1,1,0,0,0,0,0,2
1984-02-01,0,0,1,0,0,0,0.75,1
1984-03-01,0.711127004,0.50794786,0.50794786,1.50794786,1.812716576,1.50794786,0,1.277817511
1984-04-01,-0.706289406,-1.503110261,-1.503110261,-1.498272663,-1.807878978,-1.503110261,0,-3.260885915
1984-05-01,1.177511329,0.567973897,1.567973897,1.526410362,0.567973897,0.567973897,0,3.98790864
1984-06-01,-1.182348928,-0.572811496,-0.572811496,-0.536085559,0.427188504,0.427188504,0,-3.504840235
1984-07-01,0,0,-1,-1,-1,-1,0,-0.5
1984-08-01,0,0,1,1,1,0,0,3
1984-09-01,-1,-1,-1,-1,-1,0,0,-5
1984-10-01,1,1,1,0,0,0,0,3
1984-11-01,0,0,0,1,1,0,0,2
1984-12-01,0,-2,-2,-1,-1,0,0,-6
1985-01-01,0,0,1,1,0,0,0,2
1985-02-01,0,0,0,0,0,0,-0.25,0
1985-03-01,-0.288872996,-0.49205214,-0.49205214,-0.49205214,0.812716576,0.50794786,0,-2.222182489
1985-04-01,0.293710594,0.496889739,-0.503110261,-0.498272663,-0.807878978,-0.503110261,0,0.239114085
1985-05-01,-0.822488671,-0.432026103,-0.432026103,0.526410362,0.567973897,-0.432026103,0,0.48790864
1985-06-01,-0.182348928,-0.572811496,-0.572811496,-0.536085559,-0.572811496,0.427188504,0,-3.504840235
1985-07-01,1,1,1,0,0,0,0,3
1985-08-01,0,0,0,1,1,1,0,-0.5
1985-09-01,0,-1,-1,-1,-1,-1,0,-1.5
1985-10-01,0,1,1,1,0,0,0,3
1985-11-01,0,0,0,0,1,1,0,-1.5
1985-12-01,0,0,-2,-2,-1,-1,0,-2.5
1986-01-01,0,0,0,1,1,0,0,2
1986-02-01,0,0,0,0,0,0,-0.25,0
1986-03-01,-2.288872996,-2.49205214,-2.49205214,-2.49205214,-3.187283424,-1.49205214,0,-9.222182489
1986-04-01,2.293710594,2.496889739,2.496889739,1.501727337,2.192121022,1.496889739,0,7.239114085
1986-05-01,-0.822488671,-0.432026103,-0.432026103,-0.473589638,0.567973897,0.567973897,0,-3.01209136
1986-06-01,0.817651072,-0.572811496,-0.572811496,-0.536085559,-0.572811496,-0.572811496,0,-0.004840235
1986-07-01,0,1,1,1,0,0,0,3
1986-08-01,-1,-1,-1,-1,0,0,0,-4
1986-09-01,1,1,0,0,0,0,0,2
1986-10-01,0,0,1,1,1,0,0,3
1986-11-01,-1,-1,-1,-1,-1,0,0,-5
1986-12-01,1,1,1,-1,-1,0,0,1
1987-01-01,0,0,0,0,1,1,0,-1.5
1987-02-01,0,0,0,0,0,0,-0.25,0
1987-03-01,0.711127004,0.50794786,-0.49205214,-0.49205214,-0.187283424,-0.49205214,0,1.277817511
1987-04-01,-0.706289406,-0.503110261,0.496889739,0.501727337,-0.807878978,-0.503110261,0,0.239114085
1987-05-01,0.177511329,-0.432026103,-0.432026103,-0.473589638,-0.432026103,0.567973897,0,-3.01209136
1987-06-01,-0.182348928,0.427188504,-0.572811496,-0.536085559,-0.572811496,-0.572811496,0,-0.004840235
1987-07-01,0,0,1,1,1,0,0,3
1987-08-01,0,-1,-1,-1,-1,0,0,-4
1987-09-01,0,1,1,0,0,0,0,2
1987-10-01,0,0,0,1,1,1,0,-0.5
1987-11-01,0,-1,-1,-1,-1,-1,0,-1.5
1987-12-01,0,1,1,1,-1,-1,0,4.5
1988-01-01,-1,-1,-1,-1,-1,0,0,-5
1988-02-01,1,0,0,0,0,0,0.75,1
1988-03-01,0.711127004,1.50794786,1.50794786,1.50794786,0.812716576,0.50794786,0,4.777817511
1988-04-01,-0.706289406,-0.503110261,-0.503110261,-0.498272663,0.192121022,0.496889739,0,-3.260885915
1988-05-01,0.177511329,0.567973897,-0.432026103,-0.473589638,-0.432026103,-0.432026103,0,0.48790864
1988-06-01,0.817651072,0.427188504,1.427188504,1.463914441,0.427188504,0.427188504,0,3.495159765
1988-07-01,-1,-1,-1,-1,0,0,0,-4
1988-08-01,1,1,1,0,0,0,0,3
1988-09-01,0,0,0,1,1,0,0,2
1988-10-01,0,-1,-1,-1,-1,0,0,-4
1988-11-01,0,1,1,0,0,0,0,2
